"Type","KeyCite Treatment","KeyCite URL","Title","Document URL","Court Line","Filed Date","Citation","Cite Caveat","Parallel Cite","Docket Num","Summary",
"Cases","","","In re M & O Homebuilders, Inc.","https://www.westlaw.com/Document/I5ab19940e9c011e6b28da5a53aeba485/View/FullText.html?listSource=Search&list=CASE&rank=11&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (1st Dist.).","February 02, 2017","516 S.W.3d 101","","2017 WL 444445","01-16-00602-CV","LITIGATION - Judgment. Amended order removing finality language corrected judicial error, and thus was void as it was signed after trial court's plenary power expired.",
"Cases","","","Border Demolition & Environmental, Inc. v. Pineda","https://www.westlaw.com/Document/If8b686c0c4f611e79c8f8bb0457c507d/View/FullText.html?listSource=Search&list=CASE&rank=12&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, El Paso.","November 08, 2017","535 S.W.3d 140","","2017 WL 5167550","08-16-00094-CV","LEGAL SERVICES - Malpractice. Genuine issue of material fact existed as to whether attorney knew client relied on him for representation or advice, precluding summary judgment.",
"Cases","","","In re Mesa Petroleum Partners, LP","https://www.westlaw.com/Document/I30f29220c5b711e7bf23e096364180a5/View/FullText.html?listSource=Search&list=CASE&rank=13&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, El Paso.","November 09, 2017","538 S.W.3d 153","","2017 WL 5185191","08-17-00195-CV","LITIGATION - Writs. Court refused to render judgment in reasonable time, for purposes of mandamus relief based on trial court's failure to perform ministerial duty.",
"Cases","","","University of Incarnate Word v. Redus","https://www.westlaw.com/Document/Id2714070222211e8b25db53553f40f1b/View/FullText.html?listSource=Search&list=CASE&rank=14&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, San Antonio.","March 07, 2018","--- S.W.3d ----","","2018 WL 1176652","04-15-00120-CV","EDUCATION - Immunity. University's police department was not a governmental unit eligible for governmental immunity from suit under common law sovereign immunity doctrine.",
"Cases","","","DLA Piper LLP (US) v. Linegar","https://www.westlaw.com/Document/Ifb7c1530e6bd11e78c5db03c58f2bc1d/View/FullText.html?listSource=Search&list=CASE&rank=15&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Eastland.","December 21, 2017","539 S.W.3d 512","","2017 WL 6559658","11-12-00201-CV","LEGAL SERVICES - Malpractice. Jury's award of $1,293,606 in damages for stockholder was not excessive in legal malpractice action against law firm.",
"Cases","","","Fitzgerald v. Water Rock Outdoors, LLC","https://www.westlaw.com/Document/Icfc35e00da2211e7929ecf6e705a87cd/View/FullText.html?listSource=Search&list=CASE&rank=16&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Amarillo.","December 01, 2017","536 S.W.3d 112","","2017 WL 6015444","07-16-00330-CV","TORTS - Fraud. Statements that construction company was a high quality custom homebuilder, hardworking, and honest were merely puffing or opinion.",
"Cases","","","Leavitt v. Ballard Exploration Company, Inc.","https://www.westlaw.com/Document/I3a576550db6711e7af08dbc2fa7f734f/View/FullText.html?listSource=Search&list=CASE&rank=17&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (1st Dist.).","December 07, 2017","540 S.W.3d 164","","2017 WL 6043695","01-16-00536-CV","REAL PROPERTY - Mineral Rights and Interests. Dispute as to title that would affect distribution of payments existed as to right to royalties of trust with interest in unit containing gas well.",
"Cases","","","TMRJ Holdings, Inc. v. Inhance Technologies, LLC","https://www.westlaw.com/Document/Ic0404600f56111e79fcefd9d4766cbba/View/FullText.html?listSource=Search&list=CASE&rank=18&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (1st Dist.).","January 09, 2018","540 S.W.3d 202","","2018 WL 326421","01-16-00849-CV","COMMERCIAL LAW - Injunction. Permanent injunction prohibiting business's use of competitor's trade secrets related to production of fluorine gas was impermissibly broad.",
"Cases","","","In Estate of Larson","https://www.westlaw.com/Document/I80c8cd40db6611e7af08dbc2fa7f734f/View/FullText.html?listSource=Search&list=CASE&rank=19&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (14th Dist.).","December 07, 2017","541 S.W.3d 368","","2017 WL 6045582","14-16-00587-CV","ESTATE PLANNING AND PROBATE - Attorney Fees. Probate court lacked authority to authorize payment from testator's probate estate to lawyers for services rendered in guardianship proceeding.",
"Cases","","","Lindsey Construction, Inc. v. AutoNation Financial Services, LLC","https://www.westlaw.com/Document/I9ef53f00db6211e78c5db03c58f2bc1d/View/FullText.html?listSource=Search&list=CASE&rank=20&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (14th Dist.).","December 07, 2017","541 S.W.3d 355","","2017 WL 6045568","14-16-00190-CV","COMMERCIAL LAW - Contracts. Car dealership did not assent to term that it would purchase truck since any statement of price at which it would purchase was made to truck lessee.",
"Cases","","","In re Cokinos, Boisien & Young","https://www.westlaw.com/Document/I0a06287077d311e79657885de1b1150a/View/FullText.html?listSource=Search&list=CASE&rank=21&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Dallas.","July 25, 2017","523 S.W.3d 901","","2017 WL 3275999","05-16-01331-CV","LITIGATION - Discovery. Law firm was required to provide to estate of deceased lawyer copies of correspondence, which may have been relevant to a fee-sharing dispute between the estate and firm.",
"Cases","","","In re M.W.M., Jr.","https://www.westlaw.com/Document/I73e922701a9411e79eadef7f77b52ba6/View/FullText.html?listSource=Search&list=CASE&rank=22&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Dallas.","April 05, 2017","523 S.W.3d 203","","2017 WL 1245422","05-16-00797-CV","FAMILY LAW - Alternative Dispute Resolution. Trial court's order removing arbitrator and appointing substitute were an abuse of discretion, warranting mandamus relief in child custody proceeding.",
"Cases","","","Godoy v. Wells Fargo Bank, N.A.","https://www.westlaw.com/Document/I66baf7b0bf1f11e7b38a81315a4346f0/View/FullText.html?listSource=Search&list=CASE&rank=23&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (14th Dist.).","October 31, 2017","542 S.W.3d 50","","2017 WL 4930902","14-16-00599-CV","COMMERCIAL LAW - Guaranty. Guarantor's waiver of any and all rights or defenses to action to collect deficiency following foreclosure included statute of limitations defense.",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I867503c01be011e8a60be941ad402919&rank=24&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","In re Minix","https://www.westlaw.com/Document/I867503c01be011e8a60be941ad402919/View/FullText.html?listSource=Search&list=CASE&rank=24&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (14th Dist.).","February 27, 2018","543 S.W.3d 446","","2018 WL 1069558","14–17–00417–CV","FAMILY LAW - Child Custody. Family Code does not allow parties to agree to revoke an otherwise binding mediated settlement agreement (MSA).",
"Cases","","","Lion Co-Polymers Holdings, LLC v. Lion Polymers, LLC","https://www.westlaw.com/Document/I654eb9207afe11e8b29df1bcacd7c41c/View/FullText.html?listSource=Search&list=CASE&rank=25&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (1st Dist.).","June 28, 2018","Not Reported in S.W. Rptr.","","2018 WL 3150863","01-16-00848-CV","Appellant, Lion Co-Polymers Holdings, LLC (the Company), challenges the trial courts summary judgment granted in favor of appellee, Lion Polymers, LLC (LP), on LPs breach-of-contract claim against the Company. In six issues, the Company contends that the trial court erred in granting summary judgment and...",
"Cases","","","Martinez v. State","https://www.westlaw.com/Document/I798d7810054b11e781b2a67ea2e2f62b/View/FullText.html?listSource=Search&list=CASE&rank=26&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Corpus Christi-Edinburg.","March 09, 2017","527 S.W.3d 310","","2017 WL 929481","13–15–00295–CR","CRIMINAL JUSTICE - Witnesses. Defendant was not entitled to mistrial based on court's comment, in reply to State's motion to treat witness as hostile, that witness was difficult.",
"Cases","","","Connor v. Connor","https://www.westlaw.com/Document/I5c9180108f5d11e88be5ff0f408d813f/View/FullText.html?listSource=Search&list=CASE&rank=27&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (1st Dist.).","July 24, 2018","Not Reported in S.W. Rptr.","","2018 WL 3542911","01-17-00268-CV","Appellant Madeleine Connor appeals from the trial courts January 30, 2017 order on appellants motion for enforcement. Appellee Cabrach Connor filed a motion to dismiss the appeal, arguing that appellant waived her right to appeal. Appellant responded to the motion at the courts request. The parties entered into a mediated...",
"Cases","","","GFH Funding, Ltd. v. Kraken Holdings, LLC","https://www.westlaw.com/Document/I9128779089e311e88be5ff0f408d813f/View/FullText.html?listSource=Search&list=CASE&rank=28&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (1st Dist.).","July 17, 2018","Not Reported in S.W. Rptr.","","2018 WL 3431852","01-16-00853-CV","Appellants, GFH Funding, Ltd. (GFH) and Gonzalez Financial Holdings, Inc. (Gonzalez), appeal from the trial courts judgment rendered in favor of appellee, Kraken Holdings, LLC (Kraken), on its breach of contract action. In five issues, GFH and Gonzalez contend that (1) the reporters record is...",
"Cases","","","Dortch v. Boxer Property Management Corporation","https://www.westlaw.com/Document/If98d27d089df11e8b29df1bcacd7c41c/View/FullText.html?listSource=Search&list=CASE&rank=29&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (1st Dist.).","July 17, 2018","Not Reported in S.W. Rptr.","","2018 WL 3431733","01-17-00148-CV","Appellant Kenneth Dortch sued his former employer, appellee Boxer Property Management Corporation, after Boxers long-term disability insurance carrier, Reliance, denied Dortch benefits under its plan. Reliance concluded that, in 2010 (when Dortch suffered an on-the-job injury), Dortch was not covered under its policy. In 2015, Dortch sued...",
"Cases","","","1320/1390 Don Haskins, Ltd. v. Xerox Commercial Solutions, LLC","https://www.westlaw.com/Document/Id0e8ce0053ee11e88a14e1fba2b51c53/View/FullText.html?listSource=Search&list=CASE&rank=30&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, El Paso.","May 09, 2018","--- S.W.3d ----","","2018 WL 2126911","08-16-00027-CV","REAL PROPERTY - Landlord and Tenant. End date for commercial lease between landlord and tenant could reasonably be implied for parties' temporary parking agreement, which lacked end date.",
"Cases","","","McCoy v. Platinum Power Moves, Inc.","https://www.westlaw.com/Document/I2503e580910011e8809390da5fe55bec/View/FullText.html?listSource=Search&list=CASE&rank=31&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (1st Dist.).","July 26, 2018","Not Reported in S.W. Rptr.","","2018 WL 3581021","01-17-00653-CV","In this interlocutory appeal, Platinum Power Moves, Inc., an Oklahoma company, sued Wilbart McCoy, a Georgia resident, for breach of contract in Texas state court. McCoy filed a special appearance, arguing that he lacked sufficient contacts with Texas for Texas courts to exercise personal jurisdiction over him. The trial court denied McCoys...",
"Cases","","","Morello v. Seaway Crude Pipeline Company, LLC","https://www.westlaw.com/Document/Ibd2c5f705dd111e8a6608077647c238b/View/FullText.html?listSource=Search&list=CASE&rank=32&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (1st Dist.).","May 22, 2018","--- S.W.3d ----","","2018 WL 2305541","01-16-00765-CV","REAL PROPERTY - Eminent Domain. Landowner's proposed expert-witness testimony about building a rail-served industrial development center was based on a speculative future use.",
"Cases","","","Masa Custom Homes, LLC v. Shahin","https://www.westlaw.com/Document/I4509038036d611e888d5f23feb60b681/View/FullText.html?listSource=Search&list=CASE&rank=33&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Dallas.","April 02, 2018","547 S.W.3d 332","","2018 WL 1581203","05-16-00978-CV","LITIGATION - Judgment. Judgment for property owner was void for having been signed by judge who did not preside over bench trial in action for fraud against home builder.",
"Cases","","","Hernandez v. Hernandez","https://www.westlaw.com/Document/Ie9f8264033a311e89d46ed79fb792237/View/FullText.html?listSource=Search&list=CASE&rank=34&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, El Paso.","March 29, 2018","547 S.W.3d 898","","2018 WL 1531460","08-17-00141-CV","REAL PROPERTY - Mortgages and Deeds of Trust. Title passed to winning bidders at post-foreclosure online auction at closing and not when grantor signed special warranty deed.",
"Cases","","","ICP, LLC v. Busse","https://www.westlaw.com/Document/I1e04c560a16811e888e382e865ea2ff8/View/FullText.html?listSource=Search&list=CASE&rank=35&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Beaumont.","August 16, 2018","Not Reported in S.W. Rptr.","","2018 WL 3887636","09-17-00409-CV","In a single issue, appellant ICP, LLC (ICP) appeals the trial courts judgment finding that substantial evidence exists to support the Texas Workforce Commissions (the TWC) administrative decision requiring ICP to pay contractual severance benefits to Albert C. Busse. We affirm the trial courts...",
"Cases","","","Peregrine Oil & Gas, LP v. HRB Oil & Gas, Ltd.","https://www.westlaw.com/Document/I1c29e430ac8711e8b50ba206211ca6a0/View/FullText.html?listSource=Search&list=CASE&rank=36&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (1st Dist.).","August 30, 2018","Not Reported in S.W. Rptr.","","2018 WL 4137026","01-17-00180-CV","Appellant, Peregrine Oil and Gas, LP (Peregrine), challenges the trial court's judgment in favor of appellees, HRB Oil & Gas, Ltd. and VHPM, LLC (collectively HRB), on its claims against HRB for breach of contract and money had and received. In six issues, Peregrine contends that the trial court erred in granting summary...",
"Cases","","","In re I-10 Poorman Investments, Inc.","https://www.westlaw.com/Document/Ic50d1d80787411e794a1f7ff5c621124/View/FullText.html?listSource=Search&list=CASE&rank=37&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Houston (1st Dist.).","August 03, 2017","549 S.W.3d 614","","2017 WL 3298329","01-17-00284-CV","REAL PROPERTY - Lis Pendens. Community association failed to show probable validity of its real estate claims, as required to survive motion to expunge lis pendens.",
"Cases","","","In re Allstate Vehicle and Property Insurance Company","https://www.westlaw.com/Document/I13758c404f0d11e88a14e1fba2b51c53/View/FullText.html?listSource=Search&list=CASE&rank=38&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Fort Worth.","May 03, 2018","549 S.W.3d 881","","2018 WL 2069185","02-17-00319-CV","INSURANCE - Property. Trial court did not abuse its discretion by determining that insurer's conduct constituted waiver of its appraisal right.",
"Cases","","","In re American National Property and Casualty Company","https://www.westlaw.com/Document/I7273f700805811e88be5ff0f408d813f/View/FullText.html?listSource=Search&list=CASE&rank=39&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, San Antonio.","July 05, 2018","--- S.W.3d ----","","2018 WL 3264932","04-18-00138-CV","INSURANCE - Property. Non-waiver clause in insurance policy barred any implied waiver of insurer's right to seek an appraisal of damage to property under the policy.",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ic70aa3304ef411e88a14e1fba2b51c53&rank=40&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Craig v. Tejas Promotions, LLC","https://www.westlaw.com/Document/Ic70aa3304ef411e88a14e1fba2b51c53/View/FullText.html?listSource=Search&list=CASE&rank=40&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Court of Appeals of Texas, Austin.","May 03, 2018","550 S.W.3d 287","","2018 WL 2050213","03-16-00611-CV","LITIGATION - SLAPP Suits. Motion to dismiss declaratory-judgment claims did not implicate any independent legal action under Texas Citizens Participation Act (TCPA).",
